0, 0
1, 1
2, 1
3, 1
4, 2
5, 3
6, 4
7, 5
8, 7

9, 10
10, 14
11, 19
12, 26
13, 36
14, 50
15, 69
16, 95
17, 131
18, 181
19, 250
20, 345
21, 476
22, 657
23, 907
24, 1252
25, 1728
26, 2385
27, 3292
28, 4544
29, 6272
30, 8657
31, 11949
32, 16493
33, 22765
34, 31422
35, 43371
36, 59864
37, 82629
38, 114051
39, 157422
40, 217286
41, 299915
42, 413966
43, 571388
44, 788674
45, 1088589
46, 1502555
47, 2073943
48, 2862617
49, 3951206
50, 5453761
51, 7527704
52, 10390321
53, 14341527
54, 19795288
55, 27322992
56, 37713313
57, 52054840
58, 71850128
59, 99173120
60, 136886433
61, 188941273
62, 260791401
63, 359964521
64, 496850954
65, 685792227
66, 946583628
67, 1306548149
68, 1803399103
