[9, 1, 2, 10, 11, 12, 8, 5, 3, 7], 9875321211110
[10, 68, 75, 7, 21, 12], 77568211210
[ 1 5 4 5 2 2 2 5 ], 55542221
[ 6 2 4 1 8 9 ], 986421
[ 2 5 4 3 1 0 9 5 ], 95543210
[ 1 1 0 ], 110
[ 4 0 4 ], 440
[ 0 4 4 ], 440
[ 1 4 1 2 1 ], 42111
[ 1 4 5 4 3 ], 54431
[ 2 9 3 7 0 1 4 5 ], 97543210
[ 40 0 10 20 5 80 ], 8054020100
[ 3 2 5 8 1 8 7 ], 8875321
[ 5 1 6 1 ], 6511
[ 1 3 0 2 2 ], 32210
[ 1 1 3 ], 311
[ 2 0 4 2 ], 4220
[ 3 1 5 0 2 ], 53210
[ 6 4 3 2 1 ], 64321
[ 1 2 3 7 ], 7321
[ 3 2 8 1 ], 8321
[ 9 5 1 6 ], 9651
[ 2 1 2 3 ], 3221
[ 1 4 4 3 4 0 2 ], 4443210
[ 1 2 1 6 3 3 3 ], 6333211
[ 4 5 7 1 2 6 1 3 ], 76543211
[ 2 4 2 3 3 1 ], 433221
[ 4 3 0 2 4 1 ], 443210
[ 4 5 0 2 3 1 ], 543210
[ 1 2 0 6 3 4 ], 643210
[ 7 3 4 1 2 0 ], 743210
[ 3 1 8 2 ], 8321
[ 3 0 9 1 2 ], 93210
[ 1 0 0 3 2 ], 32100
[ 1 2 0 1 3 ], 32110
[ 2 3 6 4 3 2 ], 643322
[ 1 3 2 3 ], 3321
[ 4 1 3 2 4 6 ], 644321
[ 0 2 6 2 4 4 ], 644220
[ 1 2 6 1 7 4 ], 764211
[ 7 3 10 7 8 9 8 ], 98877310
[ 7 1 6 4 1 1 3 ], 7643111
[ 0 2 6 2 4 2 6 4 ], 66442220
[ 1 0 5 3 4 2 4 ], 5443210
[ 2 3 0 1 6 ], 63210
[ 7 2 1 3 0 ], 73210
[ 0 8 1 3 2 ], 83210
[ 9 1 0 3 4 2 ], 943210
[ 2 4 1 1 0 3 ], 432110
[ 2 4 0 3 1 2 ], 432210
[ 1 3 0 3 4 2 ], 433210
[ 2 4 4 3 1 0 ], 443210
[ 1 0 1 0 1 0 1 1 1 0 1 ], 11111110000
[ 5 8 2 6 4 2 3 ], 8654322
[ 3 6 3 8 4 5 2 ], 8654332
[ 8 1 9 3 5 5 7 15 ], 987553151
[ 3 2 6 8 5 6 7 1 4 ], 876654321
[ 3 7 2 4 6 7 5 1 8 ], 877654321
[ 1 1 8 0 1 0 1 1 1 1 1 ], 81111111100
[ 8 6 5 3 9 4 2 7 1 ], 987654321
[ 2 6 1 1 5 4 ], 654211
[ 20 30 10 6 ], 6302010
[ 1 1 3 2 3 2 2 ], 3322211
[ 2 8 10 6 5 4 ], 8654210
[ 8 12 10 1 ], 812110
[ 2 6 8 10 4 ], 864210
[ 10 12 15 20 18 ], 2018151210
[ 3 4 2 ], 432
[ 1 1 2 ], 211
[ 6 ], 6
[ 8 ], 8
[ 9 ], 9
[ 11 ], 11
[ 12 ], 12
[ 13 ], 13
[ 14 ], 14
[ 15 ], 15
[ 9 10 12 8 12 10 11 11 10 9 9 13 7 8 11 ], 999887131212111111101010
[ 6 5 7 5 3 4 ], 765543
[ 4 6 5 9 6 7 3 5 7 8 ], 9877665543
[ 7 9 8 ], 987
[ 4 5 3 ], 543
[ 4 7 9 ], 974
[ 6 3 1 ], 631
[ 9 6 5 9 6 6 5 5 3 3 5 7 2 6 8 ], 998766665555332
[ 5 1 5 2 4 1 ], 554211
[ 11 7 6 ], 7611
[ 6 5 1 ], 651
[ 6 8 10 ], 8610
[ 10 7 13 3 9 6 ], 97631310
[ 4 8 6 6 6 4 2 6 2 4 ], 8666644422
[ 4 2 0 ], 420
[ 6 8 4 6 2 6 4 6 10 4 6 2 8 10 8 ], 88866666444221010
[ 4 0 2 0 2 2 ], 422200
[ 7 6 8 6 5 3 10 8 10 5 ], 887665531010
[ 6 4 4 ], 644
[ 10 10 4 6 6 12 8 8 6 2 ], 8866642121010
[ 6 2 0 ], 620
[ 13 9 7 10 8 4 ], 98741310
[ 6 1 3 ], 631
[ 5 4 7 11 2 10 5 8 10 8 13 7 4 9 7 ], 9887775544213111010
[ 3 1 6 6 4 1 ], 664311
[ 10 5 7 4 9 3 7 6 8 5 ], 98776554310
[ 6 4 2 ], 642
[ 2 6 2 4 4 8 6 8 10 6 ], 88666442210
[ 6 10 10 8 6 4 4 2 8 8 2 6 6 4 6 ], 88866666444221010
[ 6 11 7 ], 7611
[ 7 4 4 0 2 9 0 7 5 2 ], 9775442200
[ 10 12 4 16 6 2 10 8 8 12 ], 886421612121010
[ 8 2 4 ], 842
[ 7 10 14 12 12 16 8 18 14 11 9 10 6 13 15 ], 98761816151414131212111010
[ 6 2 6 10 4 8 ], 8664210
[ 4 12 8 ], 8412
[ 8 4 12 ], 8412
[ 16 12 12 14 14 10 ], 161414121210
[ 8 4 6 ], 864
[ 14 18 16 ], 181614
