[1, 2, 4, 7, 8, 12], [2, 7, 8, 12, 10, 15], 7
[ 1 2 4 7 8 12 ], [ 3 5 6 8 10 15 ], 2
[ 1 7 12 ], [ 6 10 15 ], 1
[ 0 1 2 3 3 5 5 6 8 8 12 ], [ 4 5 6 7 8 9 10 11 12 13 14 ], 5
[ 0 1 3 3 5 5 ], [ 4 5 6 7 8 9 ], 5
[ 0 1 4 7 ], [ 3 5 6 8 ], 1
[ 1 3 7 ], [ 3 5 8 ], 3
[ 1 4 7 ], [ 3 5 8 ], 1
[ 1 7 ], [ 5 8 ], 1
[ 1 1 ], [ 2 2 ], 1
[ 1 ], [ 2 ], 1
[ 1 1 3 4 ], [ 2 4 5 5 ], 4
[ 1 3 4 ], [ 2 4 5 ], 4
[ 1 1 3 ], [ 2 4 5 ], 1
[ 1 3 ], [ 2 4 ], 1
[ 1 2 2 3 ], [ 3 6 7 8 ], 3
[ 1 3 ], [ 3 7 ], 3
[ 1 1 2 ], [ 2 3 5 ], 2
[ 1 2 4 ], [ 4 5 6 ], 4
[ 1 4 ], [ 4 6 ], 4
[ 4 6 ], [ 5 9 ], 4
[ 0 1 3 ], [ 2 7 8 ], 1
[ 0 3 ], [ 2 7 ], 0
[ 1 2 ], [ 2 5 ], 2
[ 1 1 2 ], [ 2 3 4 ], 2
[ 1 2 ], [ 2 3 ], 2
[ 1 4 ], [ 2 6 ], 1
[ 1 1 3 4 5 7 ], [ 3 4 7 8 8 9 ], 7
[ 1 3 7 ], [ 3 7 8 ], 3
[ 1 2 ], [ 2 4 ], 2
[1, 3, 5], [2, 4, 6], 1
