[0, 8, 4, 12, 2, 10, 6, 14, 1, 9, 5, 13, 3, 11, 7, 15], 6
[ 2 5 3 7 8 1 9 ], 5
[ 5 7 4 9 8 10 ], 4
[ 3 5 2 4 ], 2
[ 7 5 3 4 ], 2
[ 2 7 3 5 4 6 8 ], 5
[ 1 5 2 2 2 5 5 4 ], 3
[ 4 2 6 8 1 9 ], 4
[ -5 2 4 0 9 5 1 -3 ], 4
[ -2 -7 -4 0 9 5 1 3 ], 5
[ -2 -6 0 -9 -7 3 -1 4 1 10 ], 5
[ -8 7 -2 5 3 2 ], 3
[ -1 1 0 ], 2
[ -4 0 4 ], 3
[ -1 2 -1 ], 2
[ 0 -4 4 ], 2
[ 4 -1 1 2 -1 ], 3
[ 4 5 4 -1 3 ], 2
[ -2 7 -4 0 9 -5 1 3 ], 4
[ 2 -7 4 0 -9 5 1 3 ], 4
[ 2 -7 4 0 -9 5 1 -3 ], 3
[ -2 -7 4 0 -9 5 1 -3 ], 3
[ 0 5 10 20 40 80 ], 6
[ 8 -8 7 -2 5 -3 1 ], 3
[ -6 1 -5 -1 ], 3
[ 3 2 0 1 2 ], 3
[ 1 3 1 ], 2
[ 2 4 0 2 ], 2
[ -3 5 -1 -2 0 ], 3
[ -2 6 -4 3 -1 ], 2
[ 3 7 2 1 ], 2
[ -3 8 -2 -1 ], 3
[ 6 9 5 1 ], 2
[ ], 0
[ -1 -2 2 -3 ], 2
[ 4 2 -3 4 -1 0 4 ], 4
[ -1 6 3 1 -2 3 3 ], 3
[ -7 -6 1 -5 -4 -3 -2 1 ], 7
[ -2 1 3 4 -3 -2 ], 4
[ 1 4 4 0 2 3 ], 3
[ 2 3 5 0 1 4 ], 3
[ 3 2 6 0 1 4 ], 3
[ 4 1 7 0 2 3 ], 3
[ 1 2 8 3 ], 3
[ 1 2 9 0 3 ], 3
[ 0 3 0 1 2 ], 3
[ 2 1 1 0 3 ], 2
[ 6 -4 2 -3 2 3 ], 4
[ 1 2 3 3 ], 3
[ 6 2 4 3 4 1 ], 3
[ 1 3 5 3 1 ], 3
[ 4 2 6 0 2 4 ], 3
[ 1 6 7 4 2 1 ], 3
[ -9 7 8 -7 3 -8 10 ], 4
[ 6 1 4 1 3 1 7 ], 3
[ 6 4 2 2 0 2 4 6 ], 4
[ -4 -2 3 5 1 0 -4 ], 4
[ 0 1 2 6 3 ], 4
[ 1 0 2 7 3 ], 3
[ 2 0 1 8 3 ], 3
[ 0 1 4 9 2 3 ], 4
[ 0 2 3 1 1 4 ], 4
[ 2 0 3 2 1 4 ], 3
[ 3 0 2 3 1 4 ], 4
[ 4 0 1 4 2 3 ], 4
[ 1 0 1 1 1 0 0 1 1 0 1 ], 2
[ 5 3 4 2 2 6 8 ], 4
[ -5 -3 -4 -2 3 -6 -8 ], 4
[ 1 3 5 7 8 5 9 15 ], 7
[ 1 2 3 7 5 6 6 4 8 ], 6
[ 1 3 2 7 5 7 6 4 8 ], 5
[ 1 1 0 1 1 8 0 1 1 1 1 ], 3
[ 1 2 6 5 4 9 3 7 8 ], 5
[ 1 6 -5 2 -4 1 ], 3
[ 6 20 -30 10 ], 2
[ 2 -1 -2 3 -1 -2 3 ], 3
[ 10 8 6 5 4 2 ], 1
[ 1 8 10 12 ], 4
[ 2 4 6 8 10 ], 5
[ 10 12 15 18 20 ], 5
[ 2 3 4 ], 3
[ 1 2 1 ], 2
[ 6 ], 1
[ 8 ], 1
[ 9 ], 1
[ 11 ], 1
[ 12 ], 1
[ 13 ], 1
[ 14 ], 1
[ 15 ], 1
[ 7 8 8 9 10 9 9 10 11 10 11 12 11 12 13 ], 7
[ 3 4 5 5 6 7 ], 5
[ 3 4 5 6 5 6 7 7 8 9 ], 7
[ 7 8 9 ], 3
[ 3 4 5 ], 3
[ 4 7 9 ], 3
[ 1 3 6 ], 3
[ 6 3 5 2 5 7 9 6 9 6 3 6 5 8 5 ], 4
[ 1 5 2 4 1 5 ], 4
[ 7 6 11 ], 2
[ 1 6 5 ], 2
[ 6 8 10 ], 3
