[1, 2, 3, 5, 7, 8], 2, 3
[-1, 0, 1, 2, 3, 4], 1, 0
[ ], 1, 0
[ 3 2 0 1 2 ], 1, 2
[ -7, -6, 1, -5, -4, -3, -2, 1 ], 1, 5
[ 0 3 0 1 2 ], 1, 2
[ 1 2 3 3 ], 1, 1
[ 0 1 2 6 3 ], 1, 2
[ 1 2 3 7 5 6 6 4 8 ], 1, 6
[ 2 3 4 ], 1, 0
[ 7, 8, 8, 9, 10, 9, 9, 10, 11, 10, 11, 12, 11, 12, 13 ], 1, 0
[ 9 10 11 13 15 18 21 103 13 14 16 18 21 24 106 15 17 19 22 25 107 18 20 23 26 108 22 25 28 110 27 30 112 33 115 118 ], 1, 33
[ 7, 8, 9, 8, 9, 10, 11, 12, 9, 10, 9, 10, 11, 12, 13, 11, 10, 11, 12, 13, 14, 11, 12, 13, 14, 15, 11, 12, 13, 14, 13, 14, 15, 15, 16, 17 ], 1, 9
[ 18 20 22 26 30 36 42 206 26 28 32 36 42 48 212 30 34 38 44 50 214 36 40 46 52 216 44 50 56 220 54 60 224 66 230 236 ], 2, 33
[ 14 16 18 16 18 20 22 24 18 20 18 20 22 24 26 22 20 22 24 26 28 22 24 26 28 30 22 24 26 28 26 28 30 30 32 34 ], 2, 9
[ 27 30 33 39 45 54 63 309 39 42 48 54 63 72 318 45 51 57 66 75 321 54 60 69 78 324 66 75 84 330 81 90 336 99 345 354 ], 3, 33
[ 21 24 27 24 27 30 33 36 27 30 27 30 33 36 39 33 30 33 36 39 42 33 36 39 42 45 33 36 39 42 39 42 45 45 48 51 ], 3, 9
[ -3 -6 -18 -15 -12 -27 -9 -21 -24 ], 3, 6
[ -30 -24 -18 -15 -12 -6 ], 3, 3
[ -30 -24 -18 -15 -30 -24 -21 -18 -15 -9 ], 3, 7
[ -54 -48 -45 -42 -36 -42 -39 -36 -30 -33 -30 -24 -27 -21 -18 ], 3, 9
[ -6 -3 -6 -9 -6 -3 -12 -15 ], 3, 5
[ 0 -3 -6 -6 -3 0 0 -6 0 -3 -3 0 ], 3, 9
[ -6 -3 0 ], 3, 0
[ 32 36 40 28 20 24 12 28 16 20 ], 4, 7
[ 4 8 12 20 28 32 40 36 44 48 ], 4, 7
[ 36 40 44 52 60 72 84 412 52 56 64 72 84 96 424 60 68 76 88 100 428 72 80 92 104 432 88 100 112 440 108 120 448 132 460 472 ], 4, 33
[ 28 32 36 32 36 40 44 48 36 40 36 40 44 48 52 44 40 44 48 52 56 44 48 52 56 60 44 48 52 56 52 56 60 60 64 68 ], 4, 9
[ 8 4 8 12 8 4 16 20 ], 4, 5
[ 0 4 8 8 4 0 0 8 0 4 4 0 ], 4, 9
[ 0 4 8 0 4 8 0 8 4 ], 4, 3
[ -4 -8 -24 -20 -16 -36 -12 -28 -32 ], 4, 6
[ -40 -32 -24 -20 -16 -8 ], 4, 3
[ -40 -32 -24 -20 -40 -32 -28 -24 -20 -12 ], 4, 7
[ -72 -64 -60 -56 -48 -56 -52 -48 -40 -44 -40 -32 -36 -28 -24 ], 4, 9
[ -8 -4 -8 -12 -8 -4 -16 -20 ], 4, 5
[ 0 -4 -8 -8 -4 0 0 -8 0 -4 -4 0 ], 4, 9
[ 45 50 55 65 75 90 105 515 65 70 80 90 105 120 530 75 85 95 110 125 535 90 100 115 130 540 110 125 140 550 135 150 560 165 575 590 ], 5, 33
[ 35 40 45 40 45 50 55 60 45 50 45 50 55 60 65 55 50 55 60 65 70 55 60 65 70 75 55 60 65 70 65 70 75 75 80 85 ], 5, 9
